Item,Title,csv
AirPassengers,Monthly Airline Passenger Numbers 1949-1960,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/AirPassengers.csv
BJsales,Sales Data with Leading Indicator,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/BJsales.csv
BOD,Biochemical Oxygen Demand,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/BOD.csv
Formaldehyde,Determination of Formaldehyde,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/Formaldehyde.csv
HairEyeColor,Hair and Eye Color of Statistics Students,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/HairEyeColor.csv
InsectSprays,Effectiveness of Insect Sprays,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/InsectSprays.csv
JohnsonJohnson,Quarterly Earnings per Johnson & Johnson Share,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/JohnsonJohnson.csv
LakeHuron,Level of Lake Huron 1875-1972,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/LakeHuron.csv
LifeCycleSavings,Intercountry Life-Cycle Savings Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/LifeCycleSavings.csv
Nile,Flow of the River Nile,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/Nile.csv
OrchardSprays,Potency of Orchard Sprays,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/OrchardSprays.csv
PlantGrowth,Results from an Experiment on Plant Growth,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/PlantGrowth.csv
Puromycin,Reaction Velocity of an Enzymatic Reaction,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/Puromycin.csv
Titanic,Survival of passengers on the Titanic,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/Titanic.csv
ToothGrowth,The Effect of Vitamin C on Tooth Growth in Guinea Pigs,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/ToothGrowth.csv
UCBAdmissions,Student Admissions at UC Berkeley,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/UCBAdmissions.csv
UKDriverDeaths,Road Casualties in Great Britain 1969-84,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/UKDriverDeaths.csv
UKgas,UK Quarterly Gas Consumption,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/UKgas.csv
USAccDeaths,Accidental Deaths in the US 1973-1978,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/USAccDeaths.csv
USArrests,Violent Crime Rates by US State,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/USArrests.csv
USJudgeRatings,Lawyers' Ratings of State Judges in the US Superior Court,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/USJudgeRatings.csv
USPersonalExpenditure,Personal Expenditure Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/USPersonalExpenditure.csv
VADeaths,Death Rates in Virginia (1940),https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/VADeaths.csv
WWWusage,Internet Usage per Minute,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/WWWusage.csv
WorldPhones,The World's Telephones,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/WorldPhones.csv
airmiles,"Passenger Miles on Commercial US Airlines, 1937-1960",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/airmiles.csv
airquality,New York Air Quality Measurements,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/airquality.csv
anscombe,Anscombe's Quartet of 'Identical' Simple Linear Regressions,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/anscombe.csv
attenu,The Joyner-Boore Attenuation Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/attenu.csv
attitude,The Chatterjee-Price Attitude Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/attitude.csv
austres,Quarterly Time Series of the Number of Australian Residents,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/austres.csv
cars,Speed and Stopping Distances of Cars,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/cars.csv
chickwts,Chicken Weights by Feed Type,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/chickwts.csv
co2,Mauna Loa Atmospheric CO2 Concentration,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/co2.csv
crimtab,Student's 3000 Criminals Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/crimtab.csv
discoveries,Yearly Numbers of Important Discoveries,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/discoveries.csv
esoph,"Smoking, Alcohol and (O)esophageal Cancer",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/esoph.csv
