DATASET-ID,DATASET-URL
absentee,https://raw.githubusercontent.com/DATAisENOUGH/datasets_fetcher/main/absentee.csv
admit,https://raw.githubusercontent.com/DATAisENOUGH/datasets_fetcher/main/admit.csv
AustralianElectionPolling,https://raw.githubusercontent.com/DATAisENOUGH/datasets_fetcher/main/AustralianElectionPolling.csv
AustralianElections,https://raw.githubusercontent.com/DATAisENOUGH/datasets_fetcher/main/AustralianElections.csv
bioChemists,https://raw.githubusercontent.com/DATAisENOUGH/datasets_fetcher/main/bioChemists.csv
breast_cancer,https://raw.githubusercontent.com/DATAisENOUGH/datasets_fetcher/main/breast_cancer.csv
ca2006,https://raw.githubusercontent.com/DATAisENOUGH/datasets_fetcher/main/ca2006.csv
countries,https://raw.githubusercontent.com/DATAisENOUGH/datasets_fetcher/main/countries.csv
diabetes,https://raw.githubusercontent.com/DATAisENOUGH/datasets_fetcher/main/diabetes.csv
digits,https://raw.githubusercontent.com/DATAisENOUGH/datasets_fetcher/main/digits.csv
EfronMorris,https://raw.githubusercontent.com/DATAisENOUGH/datasets_fetcher/main/EfronMorris.csv
iraqVote,https://raw.githubusercontent.com/DATAisENOUGH/datasets_fetcher/main/iraqVote.csv
iris,https://raw.githubusercontent.com/DATAisENOUGH/datasets_fetcher/main/iris.csv
wine,https://raw.githubusercontent.com/DATAisENOUGH/datasets_fetcher/main/wine.csv
